name,province,electorialDistrictNumber,fromParty
วุฒิชัย กิตติธเนศวร,นครนายก,1,เพื่อไทย
วุฒินันท์ บุญชู,สมุทรปราการ,4,ก้าวไกล
วุฒิพงษ์ นามบุตร,อุบลราชธานี,2,ประชาธิปัตย์
ไวพจน์ อาภรณ์รัตน์,กำแพงเพชร,2,พลังประชารัฐ
ศรัณย์ ทิมสุวรรณ,เลย,2,เพื่อไทย
ศรัณย์วุฒิ ศรัณย์เกตุ,อุตรดิตถ์,2,เพื่อชาติ
ศราวุธ เพชรพนมพร,อุดรธานี,1,เพื่อไทย
ศรีนวล บุญลือ,เชียงใหม่,8,ภูมิใจไทย
ศรีเรศ โกฎคำลือ,เชียงใหม่,9,เพื่อไทย
ศักดา คงเพชร,ร้อยเอ็ด,7,เพื่อไทย
ศักดินัย นุ่มหนู,ตราด,1,ก้าวไกล
ศาสตรา ศรีปาน,สงขลา,2,พลังประชารัฐ
ศิรสิทธิ์ เลิศด้วยลาภ,นครราชสีมา,12,เพื่อไทย
ศิริพงษ์ รัสมี,กรุงเทพมหานคร,17,พลังประชารัฐ
ศุภชัย นพขำ,ปทุมธานี,2,เพื่อไทย
ศุภชัย โพธิ์สุ,นครพนม,1,ภูมิใจไทย
สกุณา สาระนันท์,สกลนคร,5,เพื่อไทย
สงวน พงษ์มณี,ลำพูน,1,เพื่อไทย
สนอง เทพอักษรณรงค์,บุรีรัมย์,1,ภูมิใจไทย
สมเกียรติ ถนอมสินธุ์,กรุงเทพมหานคร,21,ก้าวไกล
สมเกียรติ วอนเพียร,กาญจนบุรี,2,พลังประชารัฐ
สมคิด เชื้อคง,อุบลราชธานี,10,เพื่อไทย
สมเจตน์ ลิมปะพันธุ์,สุโขทัย,3,ภูมิใจไทย
สมชาติ ประดิษฐพร,สุราษฎร์ธานี,4,ประชาธิปัตย์
สมชาย วิษณุวงศ์,กาญจนบุรี,1,พลังประชารัฐ
สมบัติ ศรีสุรินทร์,สุรินทร์,6,เพื่อไทย
สมบัติ อำนาคะ,สระบุรี,2,พลังประชารัฐ
สมบูรณ์ ซารัมย์,บุรีรัมย์,3,ภูมิใจไทย
สมพงษ์ โสภณ,ระยอง,4,พลังประชารัฐ
สมพงษ์ อมรวิวัฒน์,เชียงใหม่,5,เพื่อไทย
สมมุติ เบ็ญจลักษณ์,ปัตตานี,4,ประชาชาติ
สมศักดิ์ พันธ์เกษม,นครราชสีมา,11,พลังประชารัฐ
สมหญิง บัวบุตร,อำนาจเจริญ,1,เพื่อไทย
สมัคร ป้องวงษ์,สมุทรสาคร,2,ชาติพัฒนากล้า
สยาม หัตถสงเคราะห์,หนองบัวลำภู,1,เพื่อไทย
สรชัด สุจิตต์,สุพรรณบุรี,1,ชาติไทยพัฒนา
สรวุฒิ เนื่องจำนงค์,ชลบุรี,4,พลังประชารัฐ
สรัสนันท์ อรรณนพพร,ขอนแก่น,8,เพื่อไทย
สราวุธ อ่อนละมัย,ชุมพร,2,ประชาธิปัตย์
สฤษฏ์พงษ์ เกี่ยวข้อง,กระบี่,2,ภูมิใจไทย
สฤษดิ์ บุตรเนียร,ปราจีนบุรี,3,ภูมิใจไทย
สะถิระ เผือกประพันธุ์,ชลบุรี,8,เศรษฐกิจไทย
สัญญา นิลสุพรรณ,นครสวรรค์,3,พลังประชารัฐ
สัณหพจน์ สุขศรีเมือง,นครศรีธรรมราช,2,พลังประชารัฐ
สัมพันธ์ มะยูโซ๊ะ,นราธิวาส,2,พลังประชารัฐ
สัมฤทธิ์ แทนทรัพย์,ชัยภูมิ,3,พลังประชารัฐ
สาคร เกี่ยวข้อง,กระบี่,1,ประชาธิปัตย์
สาทิตย์ วงศ์หนองเตย,ตรัง,2,ประชาธิปัตย์
สาธิต อุ๋ยตระกูล,เพชรบุรี,2,พลังประชารัฐ
สายัณห์ ยุติธรรม,นครศรีธรรมราช,7,พลังประชารัฐ
สิงหภณ ดีนาง,ขอนแก่น,6,เพื่อไทย
สินธพ แก้วพิจิตร,นครปฐม,1,ประชาธิปัตย์
สินิตย์ เลิศไกร,สุราษฎร์ธานี,5,ประชาธิปัตย์
สิระ เจนจาคะ,กรุงเทพมหานคร,9,พลังประชารัฐ
สิรินทร รามสูต,น่าน,1,เพื่อไทย
สิริพงศ์ อังคสกุลเกียรติ,ศรีสะเกษ,1,ภูมิใจไทย
สุชาติ ชมกลิ่น,ชลบุรี,1,พลังประชารัฐ
สุชาติ ตันเจริญ,ฉะเชิงเทรา,3,พลังประชารัฐ
สุชาติ ภิญโญ,นครราชสีมา,14,เพื่อไทย
สุชาติ อุสาหะ,เพชรบุรี,3,พลังประชารัฐ
สุณัฐชา โล่สถาพรพิพิธ,ตรัง,3,ประชาธิปัตย์
สุทธวรรณ สุบรรณ ณ อยุธยา,นครปฐม,3,ก้าวไกล
