จังหวัด,อำเภอ,ตำบล,เขตเลือกตั้ง,index,เทศบาล,เขตเลือกตั้ง
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,1,กรุงเทพมหานครสัมพันธวงศ์จักรวรรดิ,,1
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,1,กรุงเทพมหานครสัมพันธวงศ์ตลาดน้อย,,1
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,1,กรุงเทพมหานครสัมพันธวงศ์สัมพันธวงศ์,,1
กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,2,กรุงเทพมหานครสาทรทุ่งมหาเมฆ,,2
กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,2,กรุงเทพมหานครสาทรทุ่งวัดดอน,,2
กรุงเทพมหานคร,สาทร,ยานนาวา,2,กรุงเทพมหานครสาทรยานนาวา,,2
กรุงเทพมหานคร,สายไหม,คลองถนน,11,กรุงเทพมหานครสายไหมคลองถนน,,11
กรุงเทพมหานคร,สายไหม,สายไหม,11,กรุงเทพมหานครสายไหมสายไหม,,11
กรุงเทพมหานคร,สายไหม,ออเงิน,12,กรุงเทพมหานครสายไหมออเงิน,,12
กรุงเทพมหานคร,หนองแขม,หนองแขม,28,กรุงเทพมหานครหนองแขมหนองแขม,,28
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,29,กรุงเทพมหานครหนองแขมหนองค้างพลู,,29
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,17,กรุงเทพมหานครหนองจอกกระทุ่มราย,,17
กรุงเทพมหานคร,หนองจอก,คลองสิบ,17,กรุงเทพมหานครหนองจอกคลองสิบ,,17
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,17,กรุงเทพมหานครหนองจอกคลองสิบสอง,,17
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,17,กรุงเทพมหานครหนองจอกคู้ฝั่งเหนือ,,17
กรุงเทพมหานคร,หนองจอก,โคกแฝด,18,กรุงเทพมหานครหนองจอกโคกแฝด,,18
กรุงเทพมหานคร,หนองจอก,ต้อยติ่ง,18,กรุงเทพมหานครหนองจอกต้อยติ่ง,,18
กรุงเทพมหานคร,หนองจอก,ลำผักชี,18,กรุงเทพมหานครหนองจอกลำผักชี,,18
กรุงเทพมหานคร,หนองจอก,หนองจอก,17,กรุงเทพมหานครหนองจอกหนองจอก,,17
กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,9,กรุงเทพมหานครหลักสี่ตลาดบางเขน,,9
กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,8,กรุงเทพมหานครหลักสี่ทุ่งสองห้อง,,8
