number,title_name,title,name,party,mptype,province,zone,gender,birthdate*,education*,exoccupation*
20,นายอัครเวช โชตินฤมล,นาย,อัครเวช โชตินฤมล,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
21,นายประเสริฐ นิลเนตร์,นาย,ประเสริฐ นิลเนตร์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
22,นายศิวกรวิศิษฎ์ อ่วมป่วน,นาย,ศิวกรวิศิษฎ์ อ่วมป่วน,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
23,นายศิรศักดิ์ เชื้อวงศ์,นาย,ศิรศักดิ์ เชื้อวงศ์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
24,นายเมธี ทวีกุลกาญจน์,นาย,เมธี ทวีกุลกาญจน์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
25,นายภูวดิท ช่อสูงเนิน,นาย,ภูวดิท ช่อสูงเนิน,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
26,นายสมเกียรติ ปัญญะธารา,นาย,สมเกียรติ ปัญญะธารา,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
27,นายสราวุฒิ วิรุฬห์ธนวงศ์,นาย,สราวุฒิ วิรุฬห์ธนวงศ์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
28,นายธนาวิทย์ ฤทธิศรี,นาย,ธนาวิทย์ ฤทธิศรี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
29,นายตระกูล โพธิ์เรือง,นาย,ตระกูล โพธิ์เรือง,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
30,นายสมนึก จันทร์เฉิด,นาย,สมนึก จันทร์เฉิด,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
31,นางสาวอรกฤติย์ แววคล้ายหงษ์,นางสาว,อรกฤติย์ แววคล้ายหงษ์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
32,นายบุญสอน สามัคคี,นาย,บุญสอน สามัคคี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
33,นายไตรรัตน์ มิ่งเมือง,นาย,ไตรรัตน์ มิ่งเมือง,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
34,นายธีรพงศ์ พงษ์ศิริเดชา,นาย,ธีรพงศ์ พงษ์ศิริเดชา,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
35,นายวินัย โภคทรัพย์,นาย,วินัย โภคทรัพย์,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
36,นางสาวพรปนัดดา ทวีดี,นางสาว,พรปนัดดา ทวีดี,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
37,นายรังสรร ไชยโกฏิ,นาย,รังสรร ไชยโกฏิ,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,male,,,
38,นางสาวสายสุนีย์ มีเดช,นางสาว,สายสุนีย์ มีเดช,ชาติพัฒนากล้า,บัญชีรายชื่อ,,,female,,,
2,ว่าที่ร้อยตรีสมชาติ เตชถาวรเจริญ,ว่าที่ร้อยตรี,สมชาติ เตชถาวรเจริญ,ก้าวไกล,เขต,ภูเก็ต,1,male,,,
1,นายพงศา ชูเเนม,นาย,พงศา ชูเเนม,กรีน,บัญชีรายชื่อ,,,male,,,
2,นายเกริก มีมุ่งกิจ,นาย,เกริก มีมุ่งกิจ,กรีน,บัญชีรายชื่อ,,,male,,,
3,นายอภิรักษ์ เเตงขาว,นาย,อภิรักษ์ เเตงขาว,กรีน,บัญชีรายชื่อ,,,male,,,
4,นายธวัฎน์ ว่องวรานนท์,นาย,ธวัฎน์ ว่องวรานนท์,กรีน,บัญชีรายชื่อ,,,male,,,
5,นายมนูญ มนูขจร,นาย,มนูญ มนูขจร,กรีน,บัญชีรายชื่อ,,,male,,,
6,นางสุชาดา ตันตระพงศธร,นาง,สุชาดา ตันตระพงศธร,กรีน,บัญชีรายชื่อ,,,female,,,
7,นายสมุทร สุ่มมาตย์,นาย,สมุทร สุ่มมาตย์,กรีน,บัญชีรายชื่อ,,,male,,,
8,นายสหพันธ์ จันทพันธ์,นาย,สหพันธ์ จันทพันธ์,กรีน,บัญชีรายชื่อ,,,male,,,
9,นายอภิวัฒน์ จันเเปรน,นาย,อภิวัฒน์ จันเเปรน,กรีน,บัญชีรายชื่อ,,,male,,,
10,นางสาวบุญเพ็ง อุ่นเเก้ว,นางสาว,บุญเพ็ง อุ่นเเก้ว,กรีน,บัญชีรายชื่อ,,,female,,,
11,นายนิติพงษ์ ปัญญาดิษฐวงษ์,นาย,นิติพงษ์ ปัญญาดิษฐวงษ์,กรีน,บัญชีรายชื่อ,,,male,,,
12,นายฐานุกุล ซ่าพู้,นาย,ฐานุกุล ซ่าพู้,กรีน,บัญชีรายชื่อ,,,male,,,
6,สิบเอกศุภวัฒน์ พันธ์นัทธีร์,สิบเอก,ศุภวัฒน์ พันธ์นัทธีร์,ก้าวไกล,เขต,นครราชสีมา,13,male,,,
14,นายวุฒิชัย ทำนาผล,นาย,วุฒิชัย ทำนาผล,กรีน,บัญชีรายชื่อ,,,male,,,
1,นายทรงธรรม โรจนเครือวัลย์,นาย,ทรงธรรม โรจนเครือวัลย์,พลังสยาม,บัญชีรายชื่อ,,,male,,,
2,นายวิทูรย์ ส่องเเสง,นาย,วิทูรย์ ส่องเเสง,พลังสยาม,บัญชีรายชื่อ,,,male,,,
3,นายปรีชา มุลทองสุข,นาย,ปรีชา มุลทองสุข,พลังสยาม,บัญชีรายชื่อ,,,male,,,
4,นายประทวน เเก้วตา,นาย,ประทวน เเก้วตา,พลังสยาม,บัญชีรายชื่อ,,,male,,,
5,นายปริญญา ประยูรหงษ์,นาย,ปริญญา ประยูรหงษ์,พลังสยาม,บัญชีรายชื่อ,,,male,,,
6,นายกฤษณะ สมจันทร์,นาย,กฤษณะ สมจันทร์,พลังสยาม,บัญชีรายชื่อ,,,male,,,
1,นางสาวรฎาวัญ วงศ์ศรีวงศ์,นางสาว,รฎาวัญ วงศ์ศรีวงศ์,เสมอภาค,บัญชีรายชื่อ,,,female,,,
2,นางสาวฐิติพร ฌานวังศะ,นางสาว,ฐิติพร ฌานวังศะ,เสมอภาค,บัญชีรายชื่อ,,,female,,,
3,นายนาดา ไชยจิตต์,นาย,นาดา ไชยจิตต์,เสมอภาค,บัญชีรายชื่อ,,,male,,,
4,นายพณิชพงศ์ แสงทอง,นาย,พณิชพงศ์ แสงทอง,เสมอภาค,บัญชีรายชื่อ,,,male,,,
5,นางสาวพนิดา เกษมมงคล,นางสาว,พนิดา เกษมมงคล,เสมอภาค,บัญชีรายชื่อ,,,female,,,
6,นางศิริพรสล่าปัน จินะนา,นาง,ศิริพรสล่าปัน จินะนา,เสมอภาค,บัญชีรายชื่อ,,,female,,,
7,นายสถิตย์พันธ์ุ ธรรมสถิตย์,นาย,สถิตย์พันธ์ุ ธรรมสถิตย์,เสมอภาค,บัญชีรายชื่อ,,,male,,,
4,ศาสตราจารย์ชัยพร ธนถาวรกิจ,ศาสตราจารย์,ชัยพร ธนถาวรกิจ,ครูไทยเพื่อประชาชน,บัญชีรายชื่อ,,,male,,,
9,นางสาวกนกคัคนางค พงศ์สถาพร,นางสาว,กนกคัคนางค พงศ์สถาพร,เสมอภาค,บัญชีรายชื่อ,,,female,,,
10,นางสาวชีวิตชีวา สิทธิวงษ์,นางสาว,ชีวิตชีวา สิทธิวงษ์,เสมอภาค,บัญชีรายชื่อ,,,female,,,
11,นายธำรง แผนสมบูรณ์,นาย,ธำรง แผนสมบูรณ์,เสมอภาค,บัญชีรายชื่อ,,,male,,,
12,นายณัทชลัช ผดุงสรรพ,นาย,ณัทชลัช ผดุงสรรพ,เสมอภาค,บัญชีรายชื่อ,,,male,,,
13,นางสาวบุบผา คงเจริญ,นางสาว,บุบผา คงเจริญ,เสมอภาค,บัญชีรายชื่อ,,,female,,,
14,นางสาวอัมษรินธ์ วงศ์วัชระโชค,นางสาว,อัมษรินธ์ วงศ์วัชระโชค,เสมอภาค,บัญชีรายชื่อ,,,female,,,
15,นายภิญโญ บุญนำ,นาย,ภิญโญ บุญนำ,เสมอภาค,บัญชีรายชื่อ,,,male,,,
16,นายบุญจันทร์ เช้าวันดี,นาย,บุญจันทร์ เช้าวันดี,เสมอภาค,บัญชีรายชื่อ,,,male,,,
17,นางวิบูลย์ลักษณ์ ศรีอัสดร,นาง,วิบูลย์ลักษณ์ ศรีอัสดร,เสมอภาค,บัญชีรายชื่อ,,,female,,,
18,นางพัชราภรณ์ พุทธโพธิ์ศรี,นาง,พัชราภรณ์ พุทธโพธิ์ศรี,เสมอภาค,บัญชีรายชื่อ,,,female,,,
19,นายระเด่น ตอสกุล,นาย,ระเด่น ตอสกุล,เสมอภาค,บัญชีรายชื่อ,,,male,,,
20,นางนภัส พลอินตา,นาง,นภัส พลอินตา,เสมอภาค,บัญชีรายชื่อ,,,female,,,
7,ว่าที่พันตรีพงษ์เพชร ปรีดิวิสุทธิ์,ว่าที่พันตรี,พงษ์เพชร ปรีดิวิสุทธิ์,ครูไทยเพื่อประชาชน,เขต,กาญจนบุรี,4,male,,,
22,นายไพรัตน์ แสงสีดำ,นาย,ไพรัตน์ แสงสีดำ,เสมอภาค,บัญชีรายชื่อ,,,male,,,
